Meta,Google,Amazon,Bloomberg,Apple,Meta_pop,Google_pop,Amazon_pop,Bloomberg_pop,Apple_pop,Meta_easy,Meta_medium,Meta_hard,Google_easy,Google_medium,Google_hard,Amazon_easy,Amazon_medium,Amazon_hard,Bloomberg_easy,Bloomberg_medium,Bloomberg_hard,Apple_easy,Apple_medium,Apple_hard
46,59,31,27,26,5979.260869565217,4317.169491525424,5925.580645161291,7566.259259259259,4622.692307692308,10,33,3,4,35,20,8.0,17.0,6.0,2.0,20.0,5.0,5.0,9.0,12.0
33,34,8,26,7,4584.0,3877.529411764706,2549.5,4787.2692307692305,4646.142857142857,11,15,7,5,17,12,3.0,4.0,1.0,7.0,15.0,4.0,1.0,4.0,2.0
28,23,8,17,5,5698.642857142857,4892.304347826087,5409.375,4450.35294117647,1982.6,1,20,7,2,17,4,1.0,5.0,2.0,2.0,14.0,1.0,0.0,4.0,1.0
24,21,9,18,6,5094.416666666667,4787.333333333333,5192.555555555556,5113.111111111111,1337.1666666666667,1,17,6,1,14,6,0.0,8.0,1.0,0.0,15.0,3.0,0.0,3.0,3.0
22,27,13,20,9,6202.0,5263.37037037037,9609.846153846154,5796.25,6169.666666666667,5,14,3,4,13,10,5.0,8.0,0.0,3.0,15.0,2.0,3.0,5.0,1.0
20,25,10,5,8,4610.6,3767.16,5076.8,10013.6,5431.875,0,9,11,0,15,10,0.0,3.0,7.0,0.0,2.0,3.0,1.0,1.0,6.0
19,14,3,12,2,6081.9473684210525,4597.428571428572,3028.3333333333335,3543.4166666666665,2457.5,1,14,4,2,10,2,2.0,0.0,1.0,2.0,9.0,1.0,0.0,1.0,1.0
17,13,8,6,2,3689.1176470588234,2148.0,1690.75,2105.5,4379.5,4,9,4,3,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,11,3,11,1,6693.764705882353,5357.181818181818,3028.3333333333335,3784.0,4574.0,1,12,4,1,8,2,2.0,0.0,1.0,2.0,8.0,1.0,0.0,1.0,0.0
16,6,2,8,2,5609.8125,3199.1666666666665,11402.0,7220.0,3116.0,9,6,1,2,3,1,0.0,1.0,1.0,0.0,5.0,3.0,2.0,0.0,0.0
11,19,9,11,11,5667.454545454545,3424.4210526315787,3055.5555555555557,3438.0,4553.454545454545,4,6,1,3,13,3,5.0,4.0,0.0,1.0,9.0,1.0,3.0,5.0,3.0
11,2,4,4,2,8822.545454545454,8577.0,5867.25,3633.0,12204.5,4,6,1,0,2,0,0.0,3.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0
11,11,3,13,2,4227.272727272727,4907.363636363636,7390.0,7061.2307692307695,8930.0,1,10,0,0,8,3,1.0,1.0,1.0,5.0,5.0,3.0,1.0,0.0,1.0
11,4,4,3,2,5246.0,4846.5,5277.75,4278.333333333333,1030.0,0,7,4,0,4,0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0
10,8,5,4,6,5178.7,4441.5,3475.8,4955.25,3946.0,3,7,0,1,3,4,1.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0
9,11,6,4,2,6326.888888888889,4535.454545454545,4736.833333333333,6261.75,1624.5,0,5,4,0,6,5,1.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0
7,2,1,2,2,8059.285714285715,7962.0,7049.0,-120.5,5574.5,3,3,1,0,2,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
7,9,5,3,4,3065.1428571428573,3029.8888888888887,2470.4,4795.0,2509.25,3,4,0,0,7,2,1.0,4.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0
6,1,1,2,0,5635.333333333333,4321.0,10285.0,352.5,0.0,0,2,4,0,0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6,7,2,9,2,4205.833333333333,5209.285714285715,795.0,2246.4444444444443,10315.5,0,4,2,0,3,4,1.0,1.0,0.0,2.0,7.0,0.0,1.0,1.0,0.0
6,6,3,0,1,1535.0,538.8333333333334,1188.6666666666667,0.0,522.0,3,3,0,3,1,2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
6,5,1,1,1,9085.166666666666,5978.2,5168.0,487.0,2866.0,0,6,0,0,4,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,3,1,4,2,7307.166666666667,2948.3333333333335,364.0,5809.75,1339.5,0,4,2,0,0,3,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0
6,1,1,0,0,6873.333333333333,6626.0,6626.0,0.0,0.0,0,3,3,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,6,5,5,3335.75,5738.727272727273,6104.666666666667,8590.8,2977.0,0,3,1,0,6,5,0.0,6.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0
4,2,1,0,1,6286.25,5475.5,1213.0,0.0,4574.0,0,3,1,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,3,4,0,0,8730.5,8636.666666666666,8637.5,0.0,0.0,0,3,1,0,1,2,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,1,3,0,5897.5,2065.6666666666665,10285.0,3667.3333333333335,0.0,0,3,1,0,1,2,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
4,9,0,3,3,11710.0,6694.222222222223,0.0,19329.333333333332,5798.333333333333,0,2,2,0,5,4,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0
3,2,2,2,1,3382.6666666666665,4060.5,1229.5,411.0,-1148.0,3,0,0,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
3,2,0,0,1,3157.0,504.5,0.0,0.0,1193.0,3,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,0,0,1048.5,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,4,3,0,2151.0,4795.333333333333,5252.75,3195.0,0.0,0,2,0,0,3,0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2,0,0,0,0,3189.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1,3,1,5231.5,5962.5,377.0,5039.666666666667,2866.0,0,1,1,0,1,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2,8,4,4,3,4061.5,6026.25,8318.25,9100.0,4624.333333333333,0,2,0,0,6,2,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0
2,1,1,0,0,7235.5,5479.0,5479.0,0.0,0.0,0,2,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,1,0,4821.0,5379.0,0.0,5379.0,0.0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2,2,2,0,6931.0,4148.0,795.0,830.0,0.0,0,0,1,0,0,2,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1,2,2,0,0,5479.0,3263.0,2846.5,0.0,0.0,0,1,0,1,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,0,11989.0,5471.0,11989.0,0.0,0.0,0,0,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,1,1,9798.0,5962.5,0.0,9798.0,2866.0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0,0,1,1,4277.0,0.0,0.0,4277.0,1859.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
